item_name,item_api_name,tier,effects
Anima Commander,TFT17_AUGMENT_ANIMASQUAD_COMMANDER,GOLD,"{""PlayerHealth"": 5}"
Shieldmaiden,TFT17_AUGMENT_LEONACARRY,SILVER,{}
Concentration,TFT17_AUGMENT_CONCENTRATION,GOLD,"{""PowerMax"": 50.0, ""PowerMin"": 25.0}"
Heat Death,TFT17_AUGMENT_MORDEKAISERCARRY,GOLD,{}
Invader Zed,TFT17_AUGMENT_INVADERZED,GOLD,"{""RoundNum"": 2.0, ""StageNum"": 4.0}"
Timestream,TFT17_AUGMENT_TIMEBREAKER_TIMESTREAM,GOLD,"{""AttackSpeed"": 0.30000001192092896, ""Health"": 7, ""TeamwideHealth"": 100}"
Divine Amendment,TFT17_AUGMENT_ARBITER_DIVINEAMENDMENT,GOLD,{}
Stellar Combo,TFT17_AUGMENT_AATROXCARRY,SILVER,{}
Termeepnal Velocity,TFT17_AUGMENT_POPPYCARRY,SILVER,{}
The Big Bang,TFT17_AUGMENT_IVERNMINIONCARRY,GOLD,{}
Contract Killer,TFT17_AUGMENT_PYKECARRY,GOLD,{}
Reach for the Stars,TFT17_AUGMENT_JAXCARRY,GOLD,{}
Apotheotic Forge,TFT17_AUGMENT_APOTHEOTICFORGE,GOLD,{}
Tour of the Galaxy,TFT17_AUGMENT_TOUROFTHEGALAXY,GOLD,"{""AD"": 0.12999999523162842, ""AP"": 13.0, ""HP"": 130.0, ""IncPercent"": 0.10000000149011612}"
Bonk!,TFT17_AUGMENT_NASUSCARRY,SILVER,{}
Self Destruct,TFT17_AUGMENT_GRAGASCARRY,GOLD,{}
Loot Singularity,TFT17_AUGMENT_DARKSTAR_WHITEHOLE,GOLD,"{""FourPiecePoints"": 3, ""SixPiecePoints"": 4, ""TwoPiecePoints"": 2}"
Heart of the Swarm,TFT17_AUGMENT_PRIMORDIANPRISMATICAUGMENT,PRISMATIC,"{""LevelRequirement"": 9, ""Num3StarUnits"": 6}"
U.R.F,TFT16_AUGMENT_ULTRARAPIDFIRE,GOLD,"{""AttackSpeed"": 0.20000000298023224, ""ManaRegen"": 3.0}"
Call to Chaos,TFT11_AUGMENT_CALLTOCHAOS,PRISMATIC,"{""EggTurns"": 11, ""Gold"": 52.0, ""NumEmblems"": 5.0, ""Rerolls"": 36.0, ""ThreeStarGold"": 20.0, ""XP"": 58.0, ""numtg"": 3.0, ""{4ffe8c09}"": 0.20000000298023224, ""{8c58ac06}"": 3.0, ""{8f15cad2}"": 3.0, ""{917f9e2f}"": 0.20000000298023224, ""{927f9fc2}"": 50.0, ""{96847027}"": 40.0, ""{96f12d22}"": 3, ""{b0384f7a}"": 8, ""{c35cc688}"": 6}"
At What Cost,TFT11_AUGMENT_ATWHATCOST,PRISMATIC,"{""Gold"": null, ""Level"": 6.0, ""XP"": 8.0}"
The Golden Egg,TFT6_AUGMENT_THEGOLDENEGG,PRISMATIC,"{""EggTurns"": 11.0, ""{ecb4463d}"": null}"
Retribution,TFT_AUGMENT_RETRIBUTION,PRISMATIC,"{""CritChance"": 0.25, ""ItemCount"": 2.0}"
Min-Max,TFT_AUGMENT_MINMAXER,PRISMATIC,"{""NumItems"": 4.0}"
Arcane Viktor-y,TFT_AUGMENT_ARCANEVIKTORY,GOLD,"{""FirstStunSeconds"": 8.0, ""SecondStunSeconds"": 18.0, ""StunDuration"": 1.5}"
Epic Rolldown,TFT_AUGMENT_EPICROLLDOWN,GOLD,"{""NumRerolls"": 20}"
Firesale,TFT_AUGMENT_FIRESALEPLUS,SILVER,"{""CostLimit"": 3, ""Gold"": 1.0}"
Spreading Roots,TFT_AUGMENT_SPREADINGROOTS,GOLD,"{""Gold"": 1.0, ""NumOfEmblems"": 2.0, ""NumReforgers"": null}"
Tiny Titans,TFT6_AUGMENT_TINYTITANS,SILVER,"{""Heal"": 20.0}"
Survivor,TFT_AUGMENT_SURVIVOR,SILVER,"{""Gold"": 100.0, ""InitialGold"": 4.0, ""PlayersDead"": 3.0}"
Small Grab Bag,TFT_AUGMENT_SMALLGRABBAG,SILVER,"{""NumComponents"": 2.0}"
Warlord's Honor,TFT_AUGMENT_UNFORGOTTEN,GOLD,"{""MaxStacks"": 4.0, ""StartingStacks"": 1.0, ""Stats"": 5.0}"
Team Building,TFT9_AUGMENT_ARMYBUILDING,SILVER,"{""PlayerCombatNum"": 5.0}"
Tactician's Kitchen,TFT_AUGMENT_TACTICIANSKITCHEN,PRISMATIC,"{""NumFryingPan"": 1.0, ""NumItemAnvils"": 1.0, ""NumSpatula"": 1.0, ""TurnDelay"": 3}"
Hustler,TFT6_AUGMENT_HYPERROLL,GOLD,"{""Gold"": 3, ""InitialGold"": 3, ""XP"": null}"
Band of Thieves II+,TFT6_AUGMENT_BANDOFTHIEVES2PLUS,PRISMATIC,"{""DelayTurns"": 5.0, ""NumGloves"": 2.0}"
Giant and Mighty,TFT_AUGMENT_GIANTANDMIGHTY,PRISMATIC,"{""FlatHealth"": 200.0, ""PercentHealth"": 0.10000000149011612, ""{858a62b6}"": 0.11999999731779099}"
Cybernetic Implants,TFT6_AUGMENT_CYBERNETICIMPLANTS2,GOLD,"{""AD"": 0.15000000596046448, ""HP"": 100.0}"
Replication,TFT_AUGMENT_REPLICATION,GOLD,"{""Gold"": null, ""roundsofbonusitems"": 2.0}"
Crash Test Dummies,TFT10_AUGMENT_CRASHTESTDUMMIES,GOLD,"{""NumDummies"": 2.0, ""SearchRange"": 4.0, ""Stun"": 1.0}"
Lucky Gloves+,TFT7_AUGMENT_LUCKYGLOVESPLUS,PRISMATIC,"{""DelayTurns"": 4.0, ""NumGloves"": 2.0}"
Dummify,TFT_AUGMENT_DUMMIFY,SILVER,"{""ChampCost"": 2, ""HPPerStage"": 1000, ""HealthPercent"": 60.0}"
Patience is a Virtue,TFT_AUGMENT_PATIENCEISAVIRTUE,SILVER,"{""FreeRerolls"": 1.0, ""InitialRerolls"": 4, ""{4293de94}"": null}"
Deadlier Caps,TFT_AUGMENT_DEADLIERCAPS,PRISMATIC,"{""AP"": null, ""ManaRegenPerHat"": 1, ""TakeDowns"": null}"
"Tiny, but Deadly",TFT11_AUGMENT_TINYBUTDEADLY,PRISMATIC,"{""AttackSpeed"": 0.33000001311302185, ""MoveSpeed"": 0.75, ""TooltipSizeScale"": 0.5, ""{858a62b6}"": 0.30000001192092896}"
Augmented Power,TFT_AUGMENT_POWERUP,SILVER,{}
Urf's Grab Bag,TFT7_AUGMENT_URFSGRABBAG2,PRISMATIC,"{""NumComponents"": 3.0, ""NumGold"": 5.0, ""NumSpatulas"": 1.0}"
Baron's Lair,TFT_AUGMENT_THEBARONSLAIR,PRISMATIC,"{""IntervalSeconds"": 1.0, ""StartSeconds"": 8.0, ""Stats"": 5.0}"
Missed Connections,TFT9_AUGMENT_MISSEDCONNECTIONS,SILVER,{}
Win Out,TFT_AUGMENT_WINOUT,PRISMATIC,"{""InstantXP"": 10.0, ""LevelReq"": 9.0, ""RerollCount"": 8.0}"
Bronze For Life II,TFT_AUGMENT_BRONZEFORLIFE2,PRISMATIC,"{""DamageAmpBonus"": 0.019999999552965164, ""Resists"": 4.0}"
Frontline Foundation,TFT_AUGMENT_FRONTLINEFOUNDATION,GOLD,{}
Trifecta I,TFT_AUGMENT_TRIFECTA1,GOLD,"{""AttackSpeed"": 0.20000000298023224, ""BuffedNumber"": 3.0, ""Health"": 220.0, ""NumUnits"": 2.0, ""TeamAttackSpeed"": null, ""Tier"": 3.0}"
Early Learnings,TFT_AUGMENT_EARLYLEARNING,GOLD,"{""IncPerPlayerCombat"": 1.0, ""NumADAP"": 5.0}"
Wise Spending,TFT6_AUGMENT_THRIFTSHOP,PRISMATIC,"{""Gold"": 1, ""Numrolls"": 1, ""XP"": 2.0}"
Backline Blueprint,TFT_AUGMENT_BACKLINEBLUEPRINT,GOLD,{}
New Recruit+,TFT6_AUGMENT_FORCEOFNATUREPLUS,PRISMATIC,"{""MaxArmySizeIncrease"": 1.0, ""NumUnits"": 2, ""{4a99a5b2}"": null}"
Trifecta II,TFT_AUGMENT_TRIFECTA2,PRISMATIC,"{""AttackSpeed"": 0.25, ""BuffedNumber"": 3.0, ""Health"": 300.0, ""NumUnits"": 3.0, ""TeamAttackSpeed"": 0.05000000074505806, ""Tier"": 3.0}"
Cognitive Tax,TFT_AUGMENT_COGNITIVETAX,SILVER,"{""Gold"": 8.0, ""XP"": 1.0}"
You Have My Bow,TFT9_AUGMENT_YOUHAVEMYBOW,GOLD,"{""AS"": 12.0}"
"One Buff, Two Buff",TFT_AUGMENT_ONEBUFFTWOBUFF,PRISMATIC,{}
Glass Cannon I,TFT_AUGMENT_GLASSCANNONI,SILVER,"{""DamageAmp"": 0.1599999964237213, ""Health"": 0.800000011920929}"
Makeshift Armor I,TFT6_AUGMENT_MAKESHIFTARMOR1,SILVER,"{""Resists"": 30.0}"
Cognitive Tax+,TFT_AUGMENT_COGNITIVETAXPLUS,SILVER,"{""Gold"": 12.0, ""XP"": 3.0}"
Makeshift Armor II,TFT6_AUGMENT_MAKESHIFTARMOR2,GOLD,"{""Resists"": 50.0}"
Upward Mobility,TFT_AUGMENT_UPWARDMOBILITY,PRISMATIC,"{""Health"": 2.0, ""Rerolls"": 1.0}"
Explosive Growth+,TFT_AUGMENT_EXPLOSIVEGROWTHPLUS,GOLD,"{""XP"": 10.0, ""rounds"": 3.0}"
Explosive Growth,TFT_AUGMENT_EXPLOSIVEGROWTH,GOLD,"{""XP"": 7.0, ""rounds"": 3.0}"
Best Friends II,TFT7_AUGMENT_BESTFRIENDS2,GOLD,"{""AS"": 0.15000000596046448, ""Armor"": 14.0}"
Cluttered Mind,TFT7_AUGMENT_CLUTTEREDMIND,GOLD,"{""Units"": 4.0, ""XP"": 3.0}"
Best Friends I,TFT7_AUGMENT_BESTFRIENDS1,SILVER,"{""AS"": 0.10000000149011612, ""Armor"": 9.0}"
Heavy Is the Crown,TFT_AUGMENT_HEAVYISTHECROWN,GOLD,{}
Hard Commit,TFT_AUGMENT_HARDCOMMIT,PRISMATIC,"{""GoldPerStage"": 3.0}"
Seraphim's Staff,TFT_AUGMENT_SERAPHIMSSTAFF,GOLD,"{""APThreshold"": 90.0, ""IncreasedMana"": 2.0, ""{abceeef7}"": null}"
Group Hug II,TFT_AUGMENT_GROUPHUG2,GOLD,"{""Resists"": 9.0}"
Buried Treasures,TFT9_AUGMENT_BUILDINGACOLLECTIONPLUSPLUS,PRISMATIC,"{""Gold"": null, ""UpfrontItems"": 1.0, ""roundsofbonusitems"": 5.0}"
Group Hug I,TFT_AUGMENT_GROUPHUG1,SILVER,"{""Resists"": 6.0}"
Woven Magic,TFT_AUGMENT_THEVIDALION,GOLD,"{""ComponentMax"": 3, ""ManaPerComponent"": 2200.0}"
Expedition,TFT_AUGMENT_EXPEDITION,SILVER,"{""BenchSlotCount"": 1.0, ""CashoutCost"": 33.0}"
Healing Orbs I,TFT9_AUGMENT_HEALINGORBSI,SILVER,"{""Heal"": 250.0}"
The Trait Tree+,TFT_AUGMENT_TRAITTREEPLUS,PRISMATIC,"{""Gold"": 4.0, ""NumOfEmblems"": 3.0, ""NumReforgers"": 1.0}"
Climb The Ladder II,TFT_AUGMENT_CLIMBTHELADDER2,GOLD,"{""BonusAD"": 0.07000000029802322, ""BonusAP"": 7.0, ""BonusArmor"": 6.0, ""BonusMR"": 6.0}"
Climb The Ladder I,TFT_AUGMENT_CLIMBTHELADDER1,SILVER,"{""BonusAD"": 0.03500000014901161, ""BonusAP"": 3.5, ""BonusArmor"": 3.5, ""BonusMR"": 3.5}"
Lucky Gloves,TFT7_AUGMENT_LUCKYGLOVES,PRISMATIC,"{""Gold"": 4, ""NumGloves"": 2.0, ""NumRounds"": 9999.0}"
Teaming Up,TFT9_AUGMENT_COMMANDER_TEAMINGUP1,SILVER,"{""NumChamps"": 2.0, ""NumComponents"": 1.0}"
Gilded Steel,TFT_AUGMENT_GILDEDSTEEL,GOLD,"{""Durability"": 0.07999999821186066, ""NumUnits"": 2.0}"
Electrocharge II,TFT6_AUGMENT_ELECTROCHARGE2,GOLD,"{""AttacksToProc"": 4.0, ""Damage1"": 50.0, ""Damage2"": 80.0, ""Damage3"": 110.0, ""Damage4"": 140.0, ""ICD"": 1.0}"
Lunch Money,TFT11_AUGMENT_BLOODBANK,SILVER,"{""Damage"": 8.0, ""Gold"": 2}"
Electrocharge I,TFT6_AUGMENT_ELECTROCHARGE1,SILVER,"{""AttacksToProc"": 4.0, ""Damage1"": 30.0, ""Damage2"": 50.0, ""Damage3"": 70.0, ""Damage4"": 90.0, ""ICD"": 1.0}"
Worth the Wait,TFT_AUGMENT_WORTHTHEWAITGOLD,GOLD,"{""AdditionalCopies"": 99.0, ""Delay"": null, ""InitialCopies"": 1.0, ""UnitTier"": 1.0}"
Branching Out+,TFT_AUGMENT_BRANCHINGOUTPLUS,SILVER,"{""NumReforgers"": 1, ""Numberofcombats"": null}"
Item Grab Bag,TFT6_AUGMENT_ITEMGRABBAG1,SILVER,"{""NumItems"": 1.0}"
Going Long,TFT10_AUGMENT_GOINGLONG,PRISMATIC,"{""Gold"": 16.0, ""XP"": 4.0}"
Staffsmith,TFT_AUGMENT_FORGEROD,GOLD,"{""NumItems"": 2}"
Expected Unexpectedness,TFT_AUGMENT_EXPECTEDUNEXPECTEDNESS,PRISMATIC,"{""NumReforgers"": 3, ""NumStages"": 2.0, ""{144f18ac}"": 5, ""{36f24d98}"": 9.0, ""{dae07608}"": 18.0, ""{fcb8577b}"": 12.0}"
Hold the Line,TFT_AUGMENT_HOLDTHELINE,PRISMATIC,"{""AD"": 0.07999999821186066, ""AP"": 9.0}"
Sunfire Board,TFT6_AUGMENT_SUNFIREBOARD,GOLD,"{""Duration"": 18.0, ""GrievousWoundsPercent"": 33.0, ""TotalBurnPercent"": 18.0}"
Iron Assets,TFT9_AUGMENT_IRONASSETS,SILVER,"{""Gold"": 3.0}"
Feed the Flames,TFT_AUGMENT_FEEDTHEFLAMES,GOLD,"{""Omnivamp"": 0.11999999731779099}"
Hedge Fund+,TFT9_AUGMENT_HEDGEFUNDPLUS,PRISMATIC,"{""Gold"": 30.0, ""InterestCap"": 10.0}"
Golden Gamble,TFT_AUGMENT_GOLDENGAMBLE,PRISMATIC,"{""CompletedAnvils"": 2.0, ""Gold"": 2.0}"
AFK,TFT7_AUGMENT_AFK,SILVER,"{""Gold"": 17.0, ""RoundsToSkip"": 3.0}"
Hedge Fund,TFT9_AUGMENT_HEDGEFUND,PRISMATIC,"{""Gold"": 22.0, ""InterestCap"": 10.0}"
Two Much Value,TFT_AUGMENT_TWOMUCHVALUE,GOLD,"{""FreeRerolls"": 1.0, ""NumChampsToGrant"": 1.0, ""UnitCost"": 2.0, ""UnitCount"": 2.0, ""augmentselectbonusgold"": null, ""{10307c7b}"": null, ""{d5279bbe}"": 2.0, ""{e0965628}"": 2.0}"
Heroic Grab Bag+,TFT_AUGMENT_HEROICGRABBAGPLUS,GOLD,"{""Gold"": 8.0, ""LesserDuplicatorAmount"": 2.0}"
Backup Bows,TFT_AUGMENT_COMPONENTQUESTBOW,SILVER,"{""NumDelayed"": 2, ""StacksForReward"": 1000, ""{1ed24481}"": 1}"
Plot Armor,TFT_AUGMENT_PLOTARMOR,GOLD,"{""BaseResists"": 8.0, ""EnhancedTotalResists"": 40.0, ""HealthThreshold"": 0.5}"
Heart of Steel,TFT_AUGMENT_WARMOGSBUCKLE,GOLD,"{""Health"": null, ""SecondsPerGain"": 10}"
Charge Transfer I,TFT_AUGMENT_CHARGETRANSFER1,SILVER,"{""DamageAmp"": 7.0, ""OverkillPercent"": 0.5}"
Heroic Grab Bag++,TFT_AUGMENT_HEROICGRABBAGPLUSPLUS,GOLD,"{""Gold"": 14.0, ""LesserDuplicatorAmount"": 2.0}"
Salvage Bin,TFT6_AUGMENT_SALVAGEBIN,GOLD,"{""NumRounds"": 8.0}"
Charge Transfer II,TFT_AUGMENT_CHARGETRANSFER2,GOLD,"{""DamageAmp"": 10.0, ""OverkillPercent"": 0.800000011920929}"
Patient Study,TFT9_AUGMENT_LEARNINGFROMEXPERIENCE2,GOLD,"{""lossxp"": 3.0, ""winxp"": 2.0}"
Urf's Gambit,TFT_AUGMENT_URFSGAMBIT,GOLD,"{""Gold"": 3.0}"
Slammin',TFT11_AUGMENT_SLAMMIN,GOLD,"{""Gold"": 3.0, ""XP"": 2.0, ""XPNow"": null, ""components"": null}"
Bronze For Life I,TFT_AUGMENT_BRONZEFORLIFEI,GOLD,"{""DamageAmpBonus"": 0.019999999552965164, ""DurabilityBonus"": null}"
Cosmic Restart,TFT_AUGMENT_COSMICRESTART,GOLD,"{""Emblems"": 2.0, ""Rerolls"": 8.0}"
High Voltage,TFT_AUGMENT_HIGHVOLTAGE,GOLD,"{""effectincrease"": 0.25, ""hexincreasetooltip"": 3.0, ""{f5a91c3a}"": 680.0}"
Solo Leveling,TFT_AUGMENT_SOLOLEVELING,GOLD,"{""ADBonus"": 0.5, ""APBonus"": 50.0, ""ASBonus"": 0.5, ""DamageAmpBonus"": 0.30000001192092896, ""DurabilityBonus"": 0.20000000298023224, ""FlatHealthBonus"": 525.0, ""NumCombats"": 5, ""NumComponents"": 2, ""OmnivampBonus"": 0.20000000298023224, ""XPPerKill"": 1}"
Exiles I,TFT6_AUGMENT_DISTANCING,SILVER,"{""MaxHealthShield"": 20.0, ""ShieldDuration"": 10.0}"
Treasure Hunt,TFT_AUGMENT_TREASUREHUNT,GOLD,"{""GoldNeededPerChest"": null, ""MaxNumChests"": null}"
Slightly Magic Roll,TFT_AUGMENT_MAGICROLLMINUS,SILVER,"{""Gold"": 8.0, ""NumRerolls"": 6, ""{3b0ef232}"": 160.0, ""{88f01f60}"": 1, ""{f3bceefa}"": 3}"
Find Your Center,TFT_AUGMENT_FINDYOURCENTER,SILVER,"{""BonusDamage"": 0.15000000596046448, ""BonusHealth"": 0.25}"
Good For Something I,TFT10_AUGMENT_GOODFORSOMETHINGSILVER,SILVER,"{""DropChance"": 0.4000000059604645, ""Gold"": 1.0}"
Salvage Bin+,TFT8_AUGMENT_SALVAGEBINPLUS,GOLD,"{""NumRounds"": 4.0}"
Spirit of Redemption,TFT_AUGMENT_ITEMSPIRITVISAGE,GOLD,"{""Frequency"": 5.0, ""HexRadius"": 1, ""Missinghealth"": 7.5}"
Speedy Double Kill,TFT_AUGMENT_SPEEDYDOUBLEKILL,GOLD,"{""GoldAmount"": 40}"
Forward Thinking,TFT_AUGMENT_FORWARDTHINKING,GOLD,"{""BaseGold"": 62.0, ""rounds"": 5.0, ""{8f9a1368}"": 1.0}"
Vampiric Vitality I,TFT_AUGMENT_DHAMPYR1,SILVER,"{""Omnivamp"": 0.11999999731779099, ""OmnivampStatBonus"": 0.10000000149011612}"
Flexible,TFT_AUGMENT_FLEXIBLE,PRISMATIC,"{""BonusStages"": 99.0, ""HPPerEmblem"": 30.0, ""StartingEmblems"": 1.0}"
Restart Mission,TFT_AUGMENT_RESTARTMISSION,SILVER,"{""1Cost"": 1.0, ""2Cost"": 2.0, ""3Cost"": 2.0, ""NumUnits"": 2.0}"
Duo Queue,TFT_AUGMENT_DUOQUEUE,GOLD,"{""NumComponents"": 2.0, ""NumUnits"": 2.0}"
Slammin'+,TFT11_AUGMENT_SLAMMIN_PLUS,GOLD,"{""Gold"": 4.0, ""XP"": 2.0, ""XPNow"": 10.0, ""components"": null}"
Level Up!,TFT6_AUGMENT_MAXLEVEL10,PRISMATIC,"{""InitialXP"": 6.0, ""XP"": 2.0}"
Second Wind II,TFT6_AUGMENT_SECONDWIND2,GOLD,"{""Delay"": 10.0, ""HealPercent"": 60.0}"
Twin Guardians,TFT_AUGMENT_TWINGUARDIANS,SILVER,"{""BonusAR"": 35.0, ""BonusHealth"": 100.0, ""BonusMR"": 35.0, ""NumUnits"": 2, ""{2b04af7e}"": 1}"
Second Wind,TFT6_AUGMENT_SECONDWIND1,SILVER,"{""Delay"": 10.0, ""HealPercent"": 40.0}"
Golden Gamble+,TFT_AUGMENT_GOLDENGAMBLEPLUS,PRISMATIC,"{""CompletedAnvils"": 2.0, ""Gold"": 3.0}"
An Exalted Adventure,TFT_AUGMENT_ANEXALTEDADVENTURE,PRISMATIC,"{""NumStages"": 2, ""NumUnits"": 3.0}"
Stand United,TFT6_AUGMENT_DIVERSIFY1,SILVER,"{""AD"": 0.014999999664723873, ""AP"": 1.5}"
Feeling Lucky,TFT_AUGMENT_FEELINGLUCKY,SILVER,"{""BaseGold"": 12.0, ""GoldForHeads"": 4.0}"
Advanced Loan,TFT_AUGMENT_ADVANCEDLOAN,GOLD,"{""Gold"": 20}"
The Golden Dragon,TFT_AUGMENT_THEGOLDENDRAGON,GOLD,"{""BonusHealth"": 700.0, ""DurabilityPct"": 0.20000000298023224}"
Continuous Conjuration,TFT_AUGMENT_COMPONENTQUESTROD,SILVER,"{""NumDelayed"": 2, ""StacksForReward"": 42000, ""{1ed24481}"": 1}"
"One, Two, Five!",TFT6_AUGMENT_ONETWOFIVE,SILVER,"{""Gold"": 2.0, ""NumChamps"": 1.0, ""NumComponents"": 1.0}"
