item_name,item_api_name,effects,trait_granted,unique,num_craftables,num_artifacts,num_radiants,num_supports,num_emblems,num_components,num_tg_items,num_tac_items,num_swords,num_vests,num_pans,num_belts,num_rods,num_cloaks,num_bows,num_gloves,num_spats,num_tears
Rabadon's Deathcap,TFT_ITEM_RABADONSDEATHCAP,"{""AP"": 50.0, ""BonusDamage"": 0.15000000596046448, ""{1543aa48}"": 0.15000000596046448}",,False,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Dead Man's Dagger,TFT16_ITEM_BILGEWATER_DEADMANSDAGGER,"{""AD"": 0.20000000298023224, ""AP"": 20.0, ""ExecuteThreshold"": 0.11999999731779099, ""{990f4d80}"": 0.15000000596046448, ""{c076bc5c}"": 15.0}",,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucky Doubloon,TFT16_ITEM_BILGEWATER_LUCKYEYEPATCH,"{""AS"": 20.0, ""CritChance"": 20.0, ""{29df6c24}"": 3.0}",,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cutthroat's Cutlass,TFT16_ITEM_BILGEWATER_BILGERATCUTLASS,"{""AD"": 0.20000000298023224, ""AP"": 20.0, ""DamageReduction"": 0.15000000596046448, ""Duration"": 4.0, ""StatOmnivamp"": 0.15000000596046448, ""{951e1eeb}"": 0.3499999940395355}",,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackmarket Explosives,TFT16_ITEM_BILGEWATER_BLACKMARKETEXPLOSIVES,"{""AP"": 20.0, ""AS"": 10.0, ""BaseDamage"": 15, ""Interval"": 5.0, ""NumTargets"": 2.0, ""{3b8fbcff}"": 0.11999999731779099}",,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pile O' Citrus,TFT16_ITEM_BILGEWATER_PILEOCITRUS,"{""HealingPercent"": 15.0, ""Health"": 700.0, ""HealthRegenInterval"": 7.0, ""{29df6c24}"": 20.0, ""{75872a5d}"": 15.0}",,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First Mate's Flintlock,TFT16_ITEM_BILGEWATER_FIRSTMATESFLINTLOCK,"{""AD"": 0.10000000149011612, ""ADPerStack"": 0.029999999329447746, ""AS"": 10.0, ""ASPerStack"": 0.029999999329447746, ""CritChance"": 20.0, ""Timer"": 1.0}",,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barknuckles,TFT16_ITEM_BILGEWATER_FREEBOOTERSFROCK,"{""Armor"": 45.0, ""Health"": 300.0, ""HealthThreshold"": 0.5, ""MagicResist"": 45.0, ""NumEnemies"": 2.0, ""ResistPercent"": 0.5, ""Timer"": 4.0, ""{a72ef028}"": 2.0}",,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Captain's Brew,TFT16_ITEM_BILGEWATER_CAPTAINSBREW,"{""AD"": 0.15000000596046448, ""AP"": 15.0, ""ChillDuration"": 3.0, ""DebuffDuration"": 3.0, ""Health"": 100.0}",,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infinity Edge,TFT_ITEM_INFINITYEDGE,"{""AD"": 0.3499999940395355, ""CritChance"": 35.0, ""CritDamageToGive"": 0.10000000149011612}",,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Radiant Dragon's Claw,TFT5_ITEM_DRAGONSCLAWRADIANT,"{""HealthRegenInterval"": 2.0, ""ICD"": 0.5, ""MagicResist"": 150.0, ""MaxHealthRegen"": 2.0, ""PercentHealthDamage"": 5.0, ""PercentMaxHP"": 0.18000000715255737}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Striker's Flail,TFT5_ITEM_TRAPCLAWRADIANT,"{""AS"": 20.0, ""BuffDamageAmp"": 0.10000000149011612, ""CritChance"": 40.0, ""Duration"": 5.0, ""Health"": 300.0, ""MaxStacks"": 4.0, ""{1543aa48}"": 0.20000000298023224}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Ionic Spark,TFT5_ITEM_IONICSPARKRADIANT,"{""AP"": 30.0, ""Health"": 500.0, ""HealthRegenInterval"": null, ""HexRange"": 2.0, ""MRShred"": 30.0, ""MagicResist"": 70.0, ""ManaRatio"": 300.0, ""MaxHealthRegen"": null}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
