name,api_name,type,tier_max_units,tier_min_units,tier_style,tier_variables,desc
Doomer,TFT17_VEXUNIQUETRAIT,LEGENDARY,25000,1,4,{'{8c8f7de0}': 8.0},"Combat Start: Mark all enemies with Doom.<br><br>The first time enemies are damaged each combat, their Doom is consumed, stealing @ADAP1@% Attack Damage and Ability Power from them and granting it to your strongest Vex."
Challenger,TFT17_ASTRAIT,BRONZE,2,2,1,"{'AttackSpeedPercent': 0.15000000596046448, 'BurstDuration': 2.5, 'DamageReduction': None, 'TeamwideAS': 0.10000000149011612, '{2f14988e}': 0.5}","Your team gains @TeamwideAS*100@% Attack Speed. Challengers gain bonus Attack Speed. When their target dies, Challengers dash to a new target and increase their Attack Speed bonus by @BurstPercent*100@% for @BurstDuration@ seconds.<br><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row>"
Challenger,TFT17_ASTRAIT,SILVER,3,3,3,"{'AttackSpeedPercent': 0.2199999988079071, 'BurstDuration': 2.5, 'DamageReduction': None, 'TeamwideAS': 0.10000000149011612, '{2f14988e}': 0.5}","Your team gains @TeamwideAS*100@% Attack Speed. Challengers gain bonus Attack Speed. When their target dies, Challengers dash to a new target and increase their Attack Speed bonus by @BurstPercent*100@% for @BurstDuration@ seconds.<br><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row>"
Challenger,TFT17_ASTRAIT,SILVER,4,4,3,"{'AttackSpeedPercent': 0.30000001192092896, 'BurstDuration': 2.5, 'DamageReduction': None, 'TeamwideAS': 0.10000000149011612, '{2f14988e}': 0.5}","Your team gains @TeamwideAS*100@% Attack Speed. Challengers gain bonus Attack Speed. When their target dies, Challengers dash to a new target and increase their Attack Speed bonus by @BurstPercent*100@% for @BurstDuration@ seconds.<br><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row>"
Challenger,TFT17_ASTRAIT,GOLD,25000,5,5,"{'AttackSpeedPercent': 0.4000000059604645, 'BurstDuration': 2.5, 'DamageReduction': None, 'TeamwideAS': 0.10000000149011612, '{2f14988e}': 0.5}","Your team gains @TeamwideAS*100@% Attack Speed. Challengers gain bonus Attack Speed. When their target dies, Challengers dash to a new target and increase their Attack Speed bonus by @BurstPercent*100@% for @BurstDuration@ seconds.<br><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row><br><row>(@MinUnits@) @AttackSpeedPercent*100@%&nbsp;%i:scaleAS%</row>"
Stargazer,TFT17_STARGAZER_WOLF,BRONZE,3,3,1,"{'{131def33}': 0.07999999821186066, '{9cf2d9c8}': 0.019999999552965164, '{b1d6fee6}': 16.0, '{cd978d30}': 1, '{f5b00dd5}': 8.0}","Stargazers chart a different constellation every game. This game: <TFTStargazer>The Boar</TFTStargazer>.<br><br>Gain gold after winning player combat. Allies in empowered hexes gain @Wolf_Health_Teamwide*100@% Health, Attack Damage, and Ability Power. Stargazers gain more.<br><br>(Gold Earned: @TFTUnitProperty.trait:TFT17_Stargazer_Wolf_TotalGold@)<br><br><expandRow>(@MinUnits@) @Wolf_Gold@ gold, @Wolf_Health*100@% %i:scaleHealth%, @Wolf_ADAP@% %i:scaleAD%%i:scaleAP%</expandRow><br><br><rules>More hexes reveal at each player level</rules>"
Stargazer,TFT17_STARGAZER_WOLF,SILVER,4,4,3,"{'{131def33}': 0.07999999821186066, '{9cf2d9c8}': 0.07000000029802322, '{b1d6fee6}': 24.0, '{cd978d30}': 2, '{f5b00dd5}': 8.0}","Stargazers chart a different constellation every game. This game: <TFTStargazer>The Boar</TFTStargazer>.<br><br>Gain gold after winning player combat. Allies in empowered hexes gain @Wolf_Health_Teamwide*100@% Health, Attack Damage, and Ability Power. Stargazers gain more.<br><br>(Gold Earned: @TFTUnitProperty.trait:TFT17_Stargazer_Wolf_TotalGold@)<br><br><expandRow>(@MinUnits@) @Wolf_Gold@ gold, @Wolf_Health*100@% %i:scaleHealth%, @Wolf_ADAP@% %i:scaleAD%%i:scaleAP%</expandRow><br><br><rules>More hexes reveal at each player level</rules>"
Stargazer,TFT17_STARGAZER_WOLF,SILVER,5,5,3,"{'{131def33}': 0.07999999821186066, '{9cf2d9c8}': 0.11999999731779099, '{b1d6fee6}': 32.0, '{cd978d30}': 3, '{f5b00dd5}': 8.0}","Stargazers chart a different constellation every game. This game: <TFTStargazer>The Boar</TFTStargazer>.<br><br>Gain gold after winning player combat. Allies in empowered hexes gain @Wolf_Health_Teamwide*100@% Health, Attack Damage, and Ability Power. Stargazers gain more.<br><br>(Gold Earned: @TFTUnitProperty.trait:TFT17_Stargazer_Wolf_TotalGold@)<br><br><expandRow>(@MinUnits@) @Wolf_Gold@ gold, @Wolf_Health*100@% %i:scaleHealth%, @Wolf_ADAP@% %i:scaleAD%%i:scaleAP%</expandRow><br><br><rules>More hexes reveal at each player level</rules>"
Stargazer,TFT17_STARGAZER_WOLF,GOLD,25000,6,5,"{'{131def33}': 0.07999999821186066, '{9cf2d9c8}': 0.17000000178813934, '{b1d6fee6}': 37.0, '{cd978d30}': 5, '{f5b00dd5}': 8.0}","Stargazers chart a different constellation every game. This game: <TFTStargazer>The Boar</TFTStargazer>.<br><br>Gain gold after winning player combat. Allies in empowered hexes gain @Wolf_Health_Teamwide*100@% Health, Attack Damage, and Ability Power. Stargazers gain more.<br><br>(Gold Earned: @TFTUnitProperty.trait:TFT17_Stargazer_Wolf_TotalGold@)<br><br><expandRow>(@MinUnits@) @Wolf_Gold@ gold, @Wolf_Health*100@% %i:scaleHealth%, @Wolf_ADAP@% %i:scaleAD%%i:scaleAP%</expandRow><br><br><rules>More hexes reveal at each player level</rules>"
Replicator,TFT17_APTRAIT,BRONZE,3,2,1,{'{c65f6279}': 0.2199999988079071},Replicator abilities occur a second time at reduced effectiveness.<br><br><expandRow>(@MinUnits@) @Effectiveness*100@% strength</expandRow>
Replicator,TFT17_APTRAIT,GOLD,25000,4,5,{'{c65f6279}': 0.44999998807907104},Replicator abilities occur a second time at reduced effectiveness.<br><br><expandRow>(@MinUnits@) @Effectiveness*100@% strength</expandRow>
Vanguard,TFT17_SHIELDTANK,BRONZE,3,2,1,"{'DamageReductionPct': 0.05000000074505806, 'EnhancedDurability': 0.10000000149011612, 'HealthThreshold': 0.5, 'ShieldDuration': 10.0, 'ShieldPercentAmount': 0.1599999964237213}",Vanguards gain @DamageReductionPct*100@% Durability while Shielded. <br><br>Combat start and @HealthThreshold*100@%&nbsp;Health: Gain a max Health Shield for @ShieldDuration@&nbsp;seconds.<br><br><row>(@MinUnits@) @ShieldPercentAmount*100@% max Health</row><br><row>(@MinUnits@) @ShieldPercentAmount*100@% max Health</row><br><row>(@MinUnits@) @ShieldPercentAmount*100@% max Health;<br>@EnhancedDurability*100@%&nbsp;%i:scaleDR% while Shielded</row>
Vanguard,TFT17_SHIELDTANK,SILVER,5,4,3,"{'DamageReductionPct': 0.05000000074505806, 'EnhancedDurability': 0.1599999964237213, 'HealthThreshold': 0.5, 'ShieldDuration': 10.0, 'ShieldPercentAmount': 0.30000001192092896}",Vanguards gain @DamageReductionPct*100@% Durability while Shielded. <br><br>Combat start and @HealthThreshold*100@%&nbsp;Health: Gain a max Health Shield for @ShieldDuration@&nbsp;seconds.<br><br><row>(@MinUnits@) @ShieldPercentAmount*100@% max Health</row><br><row>(@MinUnits@) @ShieldPercentAmount*100@% max Health</row><br><row>(@MinUnits@) @ShieldPercentAmount*100@% max Health;<br>@EnhancedDurability*100@%&nbsp;%i:scaleDR% while Shielded</row>
