name,api_name,trait_name,trait_api_name
Tristana,TFT16_Tristana,Yordle,TFT16_Yordle
Tristana,TFT16_Tristana,Gunslinger,TFT16_Gunslinger
Lulu,TFT16_Lulu,Yordle,TFT16_Yordle
Lulu,TFT16_Lulu,Arcanist,TFT16_Sorcerer
Teemo,TFT16_Teemo,Yordle,TFT16_Yordle
Teemo,TFT16_Teemo,Longshot,TFT16_Longshot
Rumble,TFT16_Rumble,Yordle,TFT16_Yordle
Rumble,TFT16_Rumble,Defender,TFT16_Defender
Nautilus,TFT16_Nautilus,Bilgewater,TFT16_Bilgewater
Nautilus,TFT16_Nautilus,Juggernaut,TFT16_Juggernaut
Nautilus,TFT16_Nautilus,Warden,TFT16_Warden
Twisted Fate,TFT16_TwistedFate,Bilgewater,TFT16_Bilgewater
Twisted Fate,TFT16_TwistedFate,Quickstriker,TFT16_Rapidfire
Gangplank,TFT16_Gangplank,Bilgewater,TFT16_Bilgewater
Gangplank,TFT16_Gangplank,Slayer,TFT16_Slayer
Gangplank,TFT16_Gangplank,Vanquisher,TFT16_Vanquisher
Illaoi,TFT16_Illaoi,Bilgewater,TFT16_Bilgewater
Illaoi,TFT16_Illaoi,Bruiser,TFT16_Brawler
Miss Fortune,TFT16_MissFortune,Bilgewater,TFT16_Bilgewater
Miss Fortune,TFT16_MissFortune,Gunslinger,TFT16_Gunslinger
Sion,TFT16_Sion,Noxus,TFT16_Noxus
Sion,TFT16_Sion,Bruiser,TFT16_Brawler
Briar,TFT16_Briar,Noxus,TFT16_Noxus
Briar,TFT16_Briar,Slayer,TFT16_Slayer
Briar,TFT16_Briar,Juggernaut,TFT16_Juggernaut
Draven,TFT16_Draven,Noxus,TFT16_Noxus
Draven,TFT16_Draven,Quickstriker,TFT16_Rapidfire
Ambessa,TFT16_Ambessa,Noxus,TFT16_Noxus
Ambessa,TFT16_Ambessa,Vanquisher,TFT16_Vanquisher
Zoe,TFT16_Zoe,Targon,TFT16_Targon
Leona,TFT16_Leona,Targon,TFT16_Targon
Aphelios,TFT16_Aphelios,Targon,TFT16_Targon
