name,api_name,cost,role,shop_unit,stats_armor,stats_attack_speed,stats_crit_chance,stats_crit_multiplier,stats_damage,stats_hp,stats_initial_mana,stats_magic_resist,stats_mana,stats_range
Tristana,TFT16_TRISTANA,2,ADCaster,True,20.0,0.75,0.25,1.399999976158142,55.0,550.0,0,20.0,50.0,4.0
Lulu,TFT16_LULU,1,APCaster,True,15.0,0.699999988079071,0.25,1.399999976158142,25.0,500.0,20.0,15.0,70.0,4.0
Teemo,TFT16_TEEMO,2,APCaster,True,20.0,0.699999988079071,0.25,1.399999976158142,35.0,550.0,0,20.0,30.0,6.0
Rumble,TFT16_RUMBLE,1,APTank,True,40.0,0.6000000238418579,0.25,1.399999976158142,45.0,700.0,40.0,40.0,110.0,1.0
Nautilus,TFT16_NAUTILUS,3,APTank,True,50.0,0.6000000238418579,0.25,1.399999976158142,50.0,900.0,60.0,50.0,120.0,1.0
Twisted Fate,TFT16_TWISTEDFATE,2,APSpecialist,True,20.0,0.699999988079071,0.25,1.399999976158142,,550.0,0,20.0,3.0,4.0
Gangplank,TFT16_GANGPLANK,3,ADFighter,True,55.0,0.800000011920929,0.25,1.399999976158142,45.0,850.0,0,55.0,50.0,1.0
Illaoi,TFT16_ILLAOI,1,ADTank,True,40.0,0.6000000238418579,0.25,1.399999976158142,50.0,700.0,40.0,40.0,100,1.0
Miss Fortune,TFT16_MISSFORTUNE,4,ADCaster,True,30.0,0.75,0.25,1.399999976158142,50.0,800.0,0,30.0,30.0,4.0
Sion,TFT16_SION,2,APTank,True,40.0,0.550000011920929,0.25,1.399999976158142,50.0,650.0,0,40.0,70.0,1.0
Briar,TFT16_BRIAR,1,ADReaper,True,40.0,0.75,0.25,1.399999976158142,42.0,700.0,0,40.0,40.0,1.0
Draven,TFT16_DRAVEN,3,ADCarry,True,25.0,0.75,0.25,1.399999976158142,45.0,650.0,60.0,25.0,100,4.0
Ambessa,TFT16_AMBESSA,4,ADFighter,True,60.0,0.8999999761581421,0.25,1.399999976158142,50.0,1100.0,0,60.0,20.0,1.0
Zoe,TFT16_ZOE,3,APCaster,True,25.0,0.800000011920929,0.25,1.399999976158142,35.0,800.0,30.0,25.0,60.0,4.0
Leona,TFT16_LEONA,3,APTank,True,60.0,0.6499999761581421,0.25,1.399999976158142,50.0,1000.0,70.0,60.0,120.0,1.0
Aphelios,TFT16_APHELIOS,2,ADCarry,True,20.0,0.75,0.25,1.399999976158142,20.0,650.0,0,20.0,40.0,4.0
Taric,TFT16_TARIC,4,APTank,True,70.0,0.6499999761581421,0.25,1.399999976158142,70.0,1300.0,0,70.0,80.0,1.0
Jarvan IV,TFT16_JARVANIV,1,APTank,True,40.0,0.6000000238418579,0.25,1.399999976158142,55.0,700.0,30.0,40.0,100,1.0
Sona,TFT16_SONA,1,APCaster,True,15.0,0.699999988079071,0.25,1.399999976158142,20.0,500.0,0,15.0,30.0,4.0
Garen,TFT16_GAREN,4,ADTank,True,60.0,0.6000000238418579,0.25,1.399999976158142,65.0,1200.0,50.0,60.0,130.0,1.0
Lux,TFT16_LUX,4,APCaster,True,30.0,0.75,0.25,1.399999976158142,30.0,800.0,0,30.0,50.0,4.0
Anivia,TFT16_ANIVIA,1,APCaster,True,20.0,0.699999988079071,0.25,1.399999976158142,30.0,500.0,0,20.0,40.0,4.0
Ashe,TFT16_ASHE,2,ADCarry,True,20.0,0.699999988079071,0.25,1.399999976158142,53.0,550.0,20.0,20.0,80.0,4.0
Braum,TFT16_BRAUM,4,APTank,True,60.0,0.6000000238418579,0.25,1.399999976158142,50.0,1200.0,60.0,60.0,120.0,1.0
Lissandra,TFT16_LISSANDRA,4,APCaster,True,30.0,0.75,0.25,1.399999976158142,30.0,800.0,0,30.0,80.0,4.0
Milio,TFT16_MILIO,3,APCaster,True,30.0,0.75,0.25,1.399999976158142,30.0,650.0,0,30.0,60.0,4.0
Neeko,TFT16_NEEKO,2,APTank,True,45.0,0.6000000238418579,0.25,1.399999976158142,50.0,850.0,15.0,45.0,65.0,1.0
Jinx,TFT16_JINX,3,ADSpecialist,True,25.0,0.75,0.25,1.399999976158142,50.0,650.0,0,25.0,18.0,4.0
Caitlyn,TFT16_CAITLYN,1,ADCaster,True,15.0,0.699999988079071,0.25,1.399999976158142,45.0,500.0,0,15.0,80.0,6.0
Vi,TFT16_VI,2,ADFighter,True,45.0,0.8500000238418579,0.25,1.399999976158142,65.0,750.0,0,45.0,30.0,1.0
